age;job;marital;education;housing;loan;contact;month;day_of_week;campaign;contacted.in.previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
0.5354023495275692;technician;married;university.degree;no;no;cellular;aug;thu;0.0;False;nonexistent;1.0000000000000002;0.3656599497045474;0.9999999999999999;0.6347927599243577;1.0;no
0.6265415023656239;admin.;married;high.school;no;no;telephone;may;fri;0.47035066505573414;False;nonexistent;0.5069819659838427;0.6927791821410404;0.9692837103405337;0.34554208125643177;0.24403110751213697;no
0.5354023495275692;services;single;basic.9y;yes;no;cellular;jul;thu;0.47035066505573414;False;nonexistent;1.0000000000000002;0.6456110186927626;0.32579925390256365;0.6312600731694846;1.0;no
0.8398819226350289;management;divorced;university.degree;no;no;cellular;jul;mon;0.47035066505573414;False;nonexistent;1.0000000000000002;0.6456110186927626;0.32579925390256365;0.6312600731694846;1.0;yes
0.5820681242636816;admin.;married;university.degree;yes;no;cellular;jul;tue;0.7034166097043926;False;nonexistent;1.0000000000000002;0.6456110186927626;0.32579925390256365;0.6277464584839302;1.0;no
0.5354023495275692;blue-collar;married;basic.9y;no;no;telephone;jun;mon;0.0;False;nonexistent;1.0000000000000002;1.0;0.41755221124172137;0.3657306577865673;1.0;no
0.5354023495275692;unemployed;married;professional.course;no;no;telephone;may;mon;0.0;False;nonexistent;0.5069819659838427;0.6927791821410404;0.9692837103405337;0.3494913227929348;0.24403110751213697;no
0.8740728589112041;blue-collar;divorced;basic.4y;no;no;cellular;jul;thu;1.0;False;nonexistent;1.0000000000000002;0.6456110186927626;0.32579925390256365;0.617319051452201;1.0;no
0.7294125978310333;admin.;married;unknown;no;no;cellular;jul;fri;0.0;False;nonexistent;1.0000000000000002;0.6456110186927626;0.32579925390256365;0.6312600731694846;1.0;yes
0.6895819935489838;blue-collar;married;basic.4y;no;no;telephone;may;wed;0.0;False;nonexistent;0.5069819659838427;0.6927791821410404;0.9692837103405337;0.35348432896713383;0.24403110751213697;no
0.5820681242636816;services;married;high.school;yes;yes;telephone;may;wed;0.7034166097043926;False;nonexistent;0.5069819659838427;0.6927791821410404;0.9692837103405337;0.351482326051505;0.24403110751213697;yes
0.9071046533580551;blue-collar;married;basic.4y;no;no;cellular;aug;thu;0.7034166097043926;False;nonexistent;1.0000000000000002;0.3656599497045474;0.9999999999999999;0.6347927599243577;1.0;no
0.4344940077451685;entrepreneur;married;university.degree;yes;no;cellular;aug;fri;0.0;False;nonexistent;1.0000000000000002;0.3656599497045474;0.9999999999999999;0.6455062581563461;1.0;no
0.5590233618273757;admin.;married;university.degree;no;no;cellular;aug;mon;0.47035066505573414;False;nonexistent;1.0000000000000002;0.3656599497045474;0.9999999999999999;0.6419157513511118;1.0;yes
0.6690277112472546;admin.;divorced;university.degree;yes;no;cellular;aug;wed;0.8423387958320099;False;nonexistent;1.0000000000000002;0.3656599497045474;0.9999999999999999;0.6491162413026291;1.0;no
0.8740728589112041;admin.;married;high.school;no;no;cellular;jul;fri;0.0;False;nonexistent;1.0000000000000002;0.6456110186927626;0.32579925390256365;0.6312600731694846;1.0;no
0.8740728589112041;blue-collar;married;basic.9y;no;no;telephone;jun;mon;0.47035066505573414;False;nonexistent;1.0000000000000002;1.0;0.41755221124172137;0.6242518160760739;1.0;no
0.6045653171371588;admin.;married;university.degree;no;no;telephone;jun;thu;0.0;False;nonexistent;1.0000000000000002;1.0;0.41755221124172137;0.6277464584839302;1.0;no
0.2590827553287996;blue-collar;single;basic.9y;yes;no;cellular;jul;fri;0.0;False;nonexistent;1.0000000000000002;0.6456110186927626;0.32579925390256365;0.6138807321707229;1.0;no
0.4607580963956041;blue-collar;married;high.school;yes;no;telephone;nov;mon;0.0;False;nonexistent;0.003448026121691039;0.2306899807405075;0.3971578980329043;0.006294102465108864;0.3299820943041253;yes
0.5354023495275692;technician;married;professional.course;no;no;telephone;jun;mon;0.7034166097043926;False;nonexistent;1.0000000000000002;1.0;0.41755221124172137;0.3657306577865673;1.0;no
0.7097040869594147;blue-collar;married;basic.4y;no;no;telephone;may;thu;0.47035066505573414;False;nonexistent;0.5069819659838427;0.6927791821410404;0.9692837103405337;0.34554208125643177;0.24403110751213697;no
0.6480213284684645;admin.;married;unknown;no;no;telephone;may;thu;0.8423387958320099;False;nonexistent;0.5069819659838427;0.6927791821410404;0.9692837103405337;0.35549739041644046;0.24403110751213697;no
0.7862253989044805;admin.;divorced;university.degree;yes;no;telephone;may;mon;0.8423387958320099;False;nonexistent;0.5069819659838427;0.6927791821410404;0.9692837103405337;0.3494913227929348;0.24403110751213697;no
0.5590233618273757;technician;married;professional.course;no;no;telephone;nov;thu;0.47035066505573414;False;nonexistent;0.003448026121691039;0.2306899807405075;0.3971578980329043;0.0029858267485464163;0.3299820943041253;no
0.4607580963956041;admin.;married;professional.course;yes;no;cellular;jul;wed;0.7034166097043926;False;nonexistent;1.0000000000000002;0.6456110186927626;0.32579925390256365;0.6347927599243577;1.0;no
0.9546503658312535;blue-collar;married;basic.9y;no;no;cellular;jul;fri;0.0;False;nonexistent;1.0000000000000002;0.6456110186927626;0.32579925390256365;0.6138807321707229;1.0;no
0.6265415023656239;services;married;high.school;no;yes;telephone;may;tue;0.8423387958320099;False;nonexistent;0.5069819659838427;0.6927791821410404;0.9692837103405337;0.3475112606182918;0.24403110751213697;no
0.8223244852591067;management;married;university.degree;yes;no;telephone;may;wed;0.47035066505573414;False;nonexistent;0.5069819659838427;0.6927791821410404;0.9692837103405337;0.351482326051505;0.24403110751213697;no
0.37963548025457794;services;married;high.school;no;no;telephone;may;wed;0.47035066505573414;False;nonexistent;0.5069819659838427;0.6927791821410404;0.9692837103405337;0.3475112606182918;0.24403110751213697;no
0.9071046533580551;technician;married;basic.6y;no;no;cellular;jul;thu;0.0;False;nonexistent;1.0000000000000002;0.6456110186927626;0.32579925390256365;0.6312600731694846;1.0;no
0.4344940077451685;blue-collar;married;basic.9y;no;no;telephone;jun;thu;0.0;False;nonexistent;1.0000000000000002;1.0;0.41755221124172137;0.3678113240350828;1.0;no
0.5354023495275692;self-employed;single;university.degree;no;no;cellular;jul;wed;0.0;False;nonexistent;1.0000000000000002;0.6456110186927626;0.32579925390256365;0.6312600731694846;1.0;no
0.767657433716866;technician;married;professional.course;no;no;cellular;aug;thu;0.7034166097043926;False;nonexistent;1.0000000000000002;0.3656599497045474;0.9999999999999999;0.6527458031468127;1.0;no
0.4607580963956041;services;married;high.school;no;no;telephone;may;fri;0.9344728991262758;False;nonexistent;0.5069819659838427;0.6927791821410404;0.9692837103405337;0.35348432896713383;0.24403110751213697;no
0.7862253989044805;blue-collar;married;basic.4y;no;no;cellular;nov;wed;0.47035066505573414;False;nonexistent;0.003448026121691039;0.2306899807405075;0.3971578980329043;0.003979694076516271;0.3299820943041253;no
0.8571275889249692;management;married;university.degree;yes;no;cellular;jul;wed;0.0;False;nonexistent;1.0000000000000002;0.6456110186927626;0.32579925390256365;0.6312600731694846;1.0;no
0.6480213284684645;self-employed;married;high.school;no;no;cellular;jul;mon;0.47035066505573414;False;nonexistent;1.0000000000000002;0.6456110186927626;0.32579925390256365;0.6242518160760739;1.0;no
0.6265415023656239;admin.;married;high.school;yes;no;cellular;jul;mon;0.0;False;nonexistent;1.0000000000000002;0.6456110186927626;0.32579925390256365;0.6242518160760739;1.0;no
0.48630482901265726;services;married;basic.9y;yes;no;cellular;jul;wed;0.47035066505573414;False;nonexistent;1.0000000000000002;0.6456110186927626;0.32579925390256365;0.6312600731694846;1.0;no
0.5354023495275692;technician;married;basic.9y;no;no;telephone;may;wed;0.0;False;nonexistent;0.5069819659838427;0.6927791821410404;0.9692837103405337;0.351482326051505;0.24403110751213697;no
0.7862253989044805;admin.;divorced;high.school;no;no;cellular;jul;mon;0.0;False;nonexistent;1.0000000000000002;0.6456110186927626;0.32579925390256365;0.6242518160760739;1.0;no
0.4344940077451685;admin.;single;professional.course;no;no;cellular;jul;tue;0.0;False;nonexistent;1.0000000000000002;0.6456110186927626;0.32579925390256365;0.6312600731694846;1.0;no
0.6895819935489838;blue-collar;married;basic.4y;no;no;telephone;may;tue;0.7034166097043926;False;nonexistent;0.5069819659838427;0.6927791821410404;0.9692837103405337;0.3475112606182918;0.24403110751213697;no
0.6690277112472546;housemaid;divorced;basic.9y;no;no;cellular;jul;wed;0.47035066505573414;False;nonexistent;1.0000000000000002;0.6456110186927626;0.32579925390256365;0.6347927599243577;1.0;no
0.767657433716866;blue-collar;married;basic.9y;yes;no;cellular;aug;wed;0.0;False;nonexistent;1.0000000000000002;0.3656599497045474;0.9999999999999999;0.6491162413026291;1.0;no
0.7097040869594147;housemaid;married;basic.4y;yes;no;cellular;jul;wed;0.0;False;nonexistent;1.0000000000000002;0.6456110186927626;0.32579925390256365;0.6312600731694846;1.0;no
0.8398819226350289;admin.;married;university.degree;no;no;telephone;nov;tue;0.0;False;nonexistent;0.003448026121691039;0.2306899807405075;0.3971578980329043;0.004928635483853916;0.3299820943041253;no
0.7487249396842292;admin.;married;basic.9y;yes;no;cellular;nov;mon;0.7034166097043926;False;nonexistent;0.003448026121691039;0.2306899807405075;0.3971578980329043;0.006294102465108864;0.3299820943041253;no
0.1922988881676575;management;single;university.degree;no;no;cellular;jul;thu;0.47035066505573414;False;nonexistent;1.0000000000000002;0.6456110186927626;0.32579925390256365;0.617319051452201;1.0;no
0.6265415023656239;services;married;high.school;no;no;telephone;may;tue;0.8423387958320099;False;nonexistent;0.5069819659838427;0.6927791821410404;0.9692837103405337;0.3494913227929348;0.24403110751213697;no
0.4344940077451685;admin.;married;university.degree;yes;no;cellular;nov;thu;0.0;False;nonexistent;0.003448026121691039;0.2306899807405075;0.3971578980329043;0.0029858267485464163;0.3299820943041253;no
0.4344940077451685;services;married;basic.6y;no;no;telephone;may;thu;0.47035066505573414;False;nonexistent;0.5069819659838427;0.6927791821410404;0.9692837103405337;0.34554208125643177;0.24403110751213697;yes
0.5590233618273757;technician;married;university.degree;yes;no;cellular;jul;mon;0.0;False;nonexistent;1.0000000000000002;0.6456110186927626;0.32579925390256365;0.6242518160760739;1.0;no
